SK_ID_CURR,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,NAME_FAMILY_STATUS_Married,AMT_INCOME_TOTAL,CNT_FAM_MEMBERS,INCOME_PER_PERSON,FLAG_OWN_CAR,NAME_EDUCATION_TYPE_Highereducation,AMT_GOODS_PRICE,AMT_CREDIT,PAYMENT_RATE,AMT_ANNUITY,EXT_SOURCE_2,EXT_SOURCE_3
100051,0,-9827,-758,0,202500.0,2.0,101250.0,0,0,598500.0,661702.5,0.0729640586215104,48280.5,0.6315186311742824,
100360,1,-19676,-4483,1,67500.0,2.0,33750.0,0,0,202500.0,202500.0,0.05,10125.0,0.7561078884474521,
112690,0,-13499,-1667,1,540000.0,4.0,135000.0,1,1,1800000.0,1800000.0,0.03476,62568.0,0.569401481947916,0.5046813193144684
115623,0,-14887,-962,0,90000.0,1.0,90000.0,0,0,58500.0,81666.0,0.0692087282345162,5652.0,0.3102602865378536,0.25533177083329
117343,0,-16021,-3087,0,112500.0,2.0,56250.0,0,0,315000.0,364896.0,0.0523505327545382,19102.5,0.5285408208485436,0.746300213050371
124201,1,-15445,-1124,0,157500.0,3.0,52500.0,0,0,153000.0,193392.0,0.0466074087862993,9013.5,0.6200072430353423,
142711,0,-15327,-1317,1,270000.0,2.0,135000.0,1,0,630000.0,679896.0,0.1026554061209361,69795.0,0.6910890528552578,0.2176285202779586
149387,1,-9951,-1942,1,382500.0,2.0,191250.0,1,0,904500.0,1035832.5,0.0293633381845037,30415.5,0.7585873808486401,0.3108182544189319
153599,1,-12032,-4506,1,90000.0,3.0,30000.0,0,0,648000.0,776304.0,0.0322586254869226,25042.5,0.4655712743116323,0.3689687382528466
167414,1,-17408,-664,1,157500.0,2.0,78750.0,1,0,1125000.0,1288350.0,0.0264792176039119,34114.5,0.7468090586871199,0.7380196196295241
183461,0,-11342,-335,1,202500.0,2.0,101250.0,1,0,90000.0,90000.0,0.10645,9580.5,0.3879981461190705,
184382,1,-12289,-1812,1,157500.0,2.0,78750.0,0,1,229500.0,229500.0,0.119235294117647,27364.5,0.6957424712251512,0.4170996682522097
198262,1,-20057,-798,1,49500.0,2.0,24750.0,0,0,202500.0,202500.0,0.05,10125.0,0.4031013523221842,0.7001838506835805
211071,0,-10279,-610,0,337500.0,1.0,337500.0,1,1,900000.0,953460.0,0.0749056069473286,71419.5,0.6268094675851126,0.4938628816996244
211117,1,-15146,-6836,1,121500.0,2.0,60750.0,0,0,180000.0,208512.0,0.1030947859116022,21496.5,0.6839720218799347,
218245,1,-19411,-3370,1,157500.0,2.0,78750.0,0,0,814500.0,1008027.0,0.0397891127916216,40108.5,0.8055304560980829,
220695,1,-10345,-1090,0,292500.0,1.0,292500.0,0,1,454500.0,454500.0,0.0598316831683168,27193.5,0.3196297801925916,0.6925590674998008
236819,1,-21204,-4581,1,81000.0,2.0,40500.0,0,0,225000.0,254700.0,0.0795053003533568,20250.0,0.1433562689444049,0.6246146584503397
241949,1,-8191,-1616,0,112500.0,1.0,112500.0,0,0,180000.0,180000.0,0.05,9000.0,0.2813128647349483,0.4276573700350293
253665,0,-21515,-1864,1,90000.0,2.0,45000.0,1,0,450000.0,450000.0,0.05,22500.0,0.3548752871619713,0.0005272652387098
258490,1,-9285,-2132,1,157500.0,2.0,78750.0,1,1,270000.0,270000.0,0.05,13500.0,0.4178904333345074,0.6956219298394389
259696,1,-14857,-172,1,139500.0,3.0,46500.0,0,0,580500.0,695439.0,0.0322566033828991,22432.5,0.1481036965584131,
266296,0,-14532,-927,1,205650.0,5.0,41130.0,0,0,675000.0,888840.0,0.0360621709194005,32053.5,0.6959183460010488,
290380,1,-15054,-339,0,45000.0,1.0,45000.0,0,0,45000.0,47970.0,0.100093808630394,4801.5,0.6995616732869888,0.7992967832109371
302898,1,-10077,-385,1,135000.0,3.0,45000.0,0,1,180000.0,180000.0,0.05,9000.0,0.6309077828611711,
311259,1,-12782,-3051,0,112500.0,3.0,37500.0,0,1,157500.0,178290.0,0.0658253407370015,11736.0,0.3355959278495488,0.6479768603302221
312118,0,-15042,-8352,0,225000.0,1.0,225000.0,0,0,135000.0,148365.0,0.0925993327267212,13738.5,0.6309943452684706,0.178760465484575
327804,1,-14767,-369,1,90000.0,3.0,30000.0,1,1,675000.0,942300.0,0.0368767908309455,34749.0,0.6349518204881992,
333511,0,-11251,-792,0,225000.0,1.0,225000.0,0,0,450000.0,450000.0,0.04691,21109.5,0.4072226311794206,0.2458512138252296
336387,1,-10899,-2282,0,180000.0,4.0,45000.0,1,1,675000.0,808650.0,0.0389092932665553,31464.0,0.6324341128387478,0.3927738606031339
338343,1,-16128,-2796,1,176400.0,2.0,88200.0,1,0,490500.0,548770.5,0.0483398797858121,26527.5,0.4700845359694858,0.4578995512067301
358478,0,-12366,-234,0,171000.0,1.0,171000.0,0,0,450000.0,592560.0,0.0606470230862697,35937.0,0.3833869473365965,0.2405414172860865
359029,1,-10039,-2851,0,279000.0,1.0,279000.0,1,1,342000.0,380371.5,0.1080364853833686,41094.0,0.6572222264224783,
365808,0,-14675,-3829,1,180000.0,4.0,45000.0,1,0,1415259.0,1583392.5,0.0263794352947863,41769.0,0.703116064559405,0.7421816117614419
369020,1,-15686,-1213,1,225000.0,4.0,56250.0,1,0,675000.0,675000.0,0.0387466666666666,26154.0,0.61834175372727,0.2837118826350007
378233,1,-13789,-522,0,225000.0,2.0,112500.0,1,1,1381500.0,1545624.0,0.0292396468998928,45193.5,0.709683000353,
381564,1,-16430,-2958,0,67500.0,2.0,33750.0,0,0,238500.0,339241.5,0.0380834891957499,12919.5,0.6542801321255921,
384021,1,-12020,-2494,0,67500.0,2.0,33750.0,0,0,180000.0,275040.0,0.0491001308900523,13504.5,0.6352305505967334,0.722392890081304
389534,1,-13804,-4359,1,90000.0,2.0,45000.0,1,0,454500.0,544491.0,0.0292318881303823,15916.5,0.4652502710819338,0.5797274227921155
393724,1,-10808,-1119,1,224100.0,4.0,56025.0,1,1,706500.0,790434.0,0.0512205952679161,40486.5,0.4912010900885641,0.8061492814355136
406118,0,-14398,-4087,1,180000.0,3.0,60000.0,1,1,256500.0,297130.5,0.051492526011298,15300.0,0.7324302500895048,0.8193176922872417
407888,1,-10369,-1277,1,135000.0,2.0,67500.0,1,1,315000.0,331632.0,0.1064915327833261,35316.0,0.4480576410593216,0.228883416700673
409349,1,-14718,-6228,0,360000.0,1.0,360000.0,0,0,675000.0,675000.0,0.0481066666666666,32472.0,0.5444340848086848,0.22009464485041
413366,1,-14555,-256,1,189000.0,2.0,94500.0,0,0,256500.0,337761.0,0.0463374990007727,15651.0,0.7044062554784766,0.3016248916841194
419596,0,-19411,-9362,1,247500.0,2.0,123750.0,0,0,1125000.0,1288350.0,0.0293398533007334,37800.0,0.6905098714741096,0.7047064232963289
424464,1,-16892,-271,1,292500.0,2.0,146250.0,0,0,697500.0,780363.0,0.044212116668781,34501.5,0.6053907276087604,0.4848514754962666
425019,1,-19900,-9901,1,135000.0,2.0,67500.0,0,0,270000.0,270000.0,0.05,13500.0,0.6621804258906603,0.266456808245056
431885,1,-16103,-587,1,153000.0,2.0,76500.0,1,1,261000.0,316125.0,0.0507900355871886,16056.0,0.6575719121677934,0.6479768603302221
440719,1,-7730,-630,1,135000.0,2.0,67500.0,0,0,180000.0,180000.0,0.05,9000.0,0.183412662923887,0.3774042489507649
443078,1,-18763,-10664,0,292500.0,2.0,146250.0,1,0,679500.0,760225.5,0.0398309448972706,30280.5,0.3330021030219938,0.41534714488434
